district,crime_type,latitude,longitude,date,time,year
banashankari,murder,12.93297,77.58381,2016-07-29,21:00:00,2016
banashankari,murder,12.930433,77.549761,2016-11-13,23:45:00,2016
banashankari,murder,12.923736,77.58182,,21:00:00,2017
banashankari,murder,12.924123,77.576913,2017-07-19,19:30:00,2017
banashankari,murder,12.924377,77.582729,2018-06-21,23:30:00,2018
banashankari,murder,12.920604,77.520557,2018-07-17,21:15:00,2018
banashankari,murder,12.940662,77.574095,,09:30:00,2015
banashankari,murder,12.9387822,77.5795611,2016-06-18,21:00:00,2016
banashankari,murder,12.9399013,77.5733711,,18:30:00,2017
banashankari,murder,12.944557,77.57758,2019-07-29,18:00:00,2019
banashankari,murder,12.9076508,77.5951967,,06:00:00,2015
banashankari,murder,12.9076508,77.5951967,2015-01-26,04:10:00,2015
banashankari,murder,12.9030543,77.5813948,,08:00:00,2015
banashankari,murder,12.9036647,77.5785439,2016-05-16,07:30:00,2016
banashankari,murder,12.9004589,77.5684636,,09:15:00,2016
banashankari,murder,12.909427,77.5706543,,02:50:00,2016
banashankari,murder,12.9039655,77.5804308,2016-11-21,02:20:00,2016
banashankari,murder,12.9039653,77.5738647,,02:00:00,2018
banashankari,murder,12.9124543,77.5737283,,02:15:00,2018
banashankari,murder,12.9108342,77.5866704,2019-08-25,01:30:00,2019
banashankari,murder,12.9071236,77.583816,2019-08-25,02:30:00,2019
banashankari,murder,12.9176806,77.5685194,2016-03-25,21:40:00,2016
banashankari,murder,12.9154222,77.5620056,2016-04-26,08:15:00,2016
banashankari,murder,12.9150583,77.5659917,,06:15:00,2016
banashankari,murder,12.9196528,77.5740472,2016-05-23,00:45:00,2016
banashankari,murder,12.91986,77.56931,,22:30:00,2016
banashankari,murder,12.9249111,77.5693083,,19:00:00,2017
banashankari,murder,12.958864,77.638363,2017-11-27,11:00:00,2017
banashankari,murder,12.946595,77.59197,2015-07-23,16:00:00,2015
banashankari,murder,12.945264,77.59271,2015-12-23,16:30:00,2015
banashankari,murder,12.946042,77.593699,,22:00:00,2016
banashankari,murder,12.946042,77.593699,2016-05-16,21:30:00,2016
banashankari,murder,12.944408,77.593165,2019-06-22,02:00:00,2019
banashankari,murder,12.8905089,77.57361,,06:30:00,2015
banashankari,murder,12.9097669,77.5567987,,15:00:00,2015
banashankari,murder,12.901082,77.5475381,2015-03-15,16:45:00,2015
banashankari,murder,12.8685477,77.5801126,2015-03-26,21:45:00,2015
banashankari,murder,12.9095845,77.5515973,2015-05-20,09:45:00,2015
banashankari,murder,12.8832879,77.5813055,,,2016
banashankari,murder,12.8776868,77.580717,,,2016
banashankari,murder,12.8887116,77.5737734,,,2016
banashankari,murder,12.8953716,77.5503236,,,2016
banashankari,murder,12.9093283,77.5437415,,,2016
banashankari,murder,12.8793283,77.5737415,,,2016
banashankari,murder,12.9071428,77.53487,,,2016
banashankari,murder,12.9024547,77.5418141,2017-02-26,20:10:00,2017
banashankari,murder,12.8856326,77.5482591,,21:00:00,2017
banashankari,murder,12.8894838,77.5623209,2017-04-26,23:50:00,2017
banashankari,murder,12.9010821,77.5475381,2017-10-13,03:00:00,2017
banashankari,murder,12.9057223,77.5355813,,22:30:00,2018
banashankari,murder,12.8828956,77.5664778,,03:00:00,2018
banashankari,murder,12.8967726,77.5445644,2018-09-28,10:30:00,2018
banashankari,murder,12.9108237,77.5439817,,13:00:00,2019
banashankari,murder,12.913512,77.554144,2019-07-14,21:45:00,2019
banashankari,murder,12.9108489,77.5374565,,17:30:00,2019
banashankari,murder,12.87583,77.511157,2015-02-22,15:00:00,2015
banashankari,murder,12.894725,77.542178,2015-03-17,05:00:00,2015
