district,crime_type,latitude,longitude,date,time
Banashankari,murder,12.93297,77.58381,2016-07-29 00:00:00.000,21:00:00
Banashankari,murder,12.930433,77.549761,2016-11-13 00:00:00.000,23:45:00
Banashankari,murder,12.923736,77.58182,2017-10-05 00:00:00.000,21:00:00
Banashankari,murder,12.924123,77.576913,2017-07-19 00:00:00.000,19:30:00
Banashankari,murder,12.924377,77.582729,2018-06-21 00:00:00.000,23:30:00
Banashankari,murder,12.920604,77.520557,2018-07-17 00:00:00.000,21:15:00
Banashankari,murder,12.940662,77.574095,2015-08-27 00:00:00.000,09:30:00
Banashankari,murder,12.93878218,77.57956109,2016-06-18 00:00:00.000,21:00:00
Banashankari,murder,12.9399013,77.57337112,2017-02-07 00:00:00.000,18:30:00
Banashankari,murder,12.944557,77.57758,2019-07-29 00:00:00.000,18:00:00
Banashankari,murder,12.9076508,77.5951967,2015-07-01 00:00:00.000,06:00:00
Banashankari,murder,12.9076508,77.5951967,2015-01-26 00:00:00.000,04:10:00
Banashankari,murder,12.9030543,77.5813948,2015-08-11 00:00:00.000,08:00:00
Banashankari,murder,12.9036647,77.5785439,2016-05-16 00:00:00.000,07:30:00
Banashankari,murder,12.9004589,77.5684636,2016-06-09 00:00:00.000,09:15:00
Banashankari,murder,12.909427,77.5706543,2016-11-09 00:00:00.000,02:50:00
Banashankari,murder,12.9039655,77.5804308,2016-11-21 00:00:00.000,02:20:00
Banashankari,murder,12.9039653,77.5738647,2018-01-01 00:00:00.000,02:00:00
Banashankari,murder,12.9124543,77.5737283,2018-01-01 00:00:00.000,02:15:00
Banashankari,murder,12.9108342,77.5866704,2019-08-25 00:00:00.000,01:30:00
Banashankari,murder,12.9071236,77.583816,2019-08-25 00:00:00.000,02:30:00
Banashankari,murder,12.91986,77.56931,2016-02-12 00:00:00.000,22:30:00
Banashankari,murder,12.958864,77.638363,2017-11-27 00:00:00.000,11:00:00
Banashankari,murder,12.946595,77.59197,2015-07-23 00:00:00.000,16:00:00
Banashankari,murder,12.945264,77.59271,2015-12-23 00:00:00.000,16:30:00
Banashankari,murder,12.946042,77.593699,2016-10-04 00:00:00.000,22:00:00
Banashankari,murder,12.946042,77.593699,2016-05-16 00:00:00.000,21:30:00
Banashankari,murder,12.944408,77.593165,2019-06-22 00:00:00.000,02:00:00
Banashankari,murder,12.89050892,77.57361002,2015-05-02 00:00:00.000,06:30:00
Banashankari,murder,12.90976685,77.55679873,2015-09-02 00:00:00.000,15:00:00
Banashankari,murder,12.901082,77.54753806,2015-03-15 00:00:00.000,16:45:00
Banashankari,murder,12.86854765,77.5801126,2015-03-26 00:00:00.000,21:45:00
Banashankari,murder,12.90958449,77.55159728,2015-05-20 00:00:00.000,09:45:00
Banashankari,murder,12.88328789,77.58130555,2016-01-01 00:00:00.000,
Banashankari,murder,12.8776868,77.58071703,2016-01-09 00:00:00.000,
Banashankari,murder,12.8887116,77.57377343,2016-04-10 00:00:00.000,
Banashankari,murder,12.89537161,77.55032355,2016-08-12 00:00:00.000,
Banashankari,murder,12.90932828,77.5437415,2016-08-16 00:00:00.000,
Banashankari,murder,12.87932828,77.5737415,2016-10-23 00:00:00.000,
Banashankari,murder,12.90714279,77.53486998,2016-11-16 00:00:00.000,
Banashankari,murder,12.90245473,77.54181407,2017-02-26 00:00:00.000,20:10:00
Banashankari,murder,12.88563257,77.5482591,2017-12-03 00:00:00.000,21:00:00
Banashankari,murder,12.88948381,77.56232091,2017-04-26 00:00:00.000,23:50:00
Banashankari,murder,12.90108207,77.54753806,2017-10-13 00:00:00.000,03:00:00
Banashankari,murder,12.9057223,77.53558126,2018-12-01 00:00:00.000,22:30:00
Banashankari,murder,12.88289563,77.56647782,2018-10-06 00:00:00.000,03:00:00
Banashankari,murder,12.8967726,77.5445644,2018-09-28 00:00:00.000,10:30:00
Banashankari,murder,12.91082367,77.54398174,2019-08-05 00:00:00.000,13:00:00
Banashankari,murder,12.913512,77.554144,2019-07-14 00:00:00.000,21:45:00
Banashankari,murder,12.91084893,77.53745649,2019-05-10 00:00:00.000,17:30:00
Banashankari,murder,12.87583,77.511157,2015-02-22 00:00:00.000,15:00:00
Banashankari,murder,12.894725,77.542178,2015-03-17 00:00:00.000,05:00:00
Banashankari,murder,12.874853,77.554205,2015-03-29 00:00:00.000,16:00:00
Banashankari,murder,12.860873,77.520947,2016-01-14 00:00:00.000,14:45:00
Banashankari,murder,12.864755,77.528047,2017-01-17 00:00:00.000,12:30:00
Banashankari,murder,12.871198,77.536856,2017-04-13 00:00:00.000,12:15:00
Banashankari,murder,12.853954,77.553705,2017-04-24 00:00:00.000,10:00:00
Banashankari,murder,12.870574,77.571346,2017-05-08 00:00:00.000,04:00:00
Banashankari,murder,12879498.0,77.542792,2017-08-17 00:00:00.000,05:00:00
Banashankari,murder,12.87548,77.535128,2017-08-22 00:00:00.000,04:00:00
Banashankari,murder,12.870129,77.556345,2018-01-17 00:00:00.000,22:00:00
Banashankari,murder,12.878193,77.535515,2018-07-14 00:00:00.000,21:00:00
Banashankari,murder,12.848726,77.572816,2018-09-19 00:00:00.000,18:00:00
Banashankari,murder,12.872393,77.557753,2018-10-16 00:00:00.000,19:00:00
Banashankari,murder,12.871255,77.56033,2018-10-27 00:00:00.000,10:10:00
Banashankari,murder,12.879671,77.54543,2018-03-11 00:00:00.000,20:00:00
Banashankari,murder,12.859739,77.562719,2019-08-19 00:00:00.000,14:00:00
Banashankari,murder,12.862041,77.563487,2019-10-14 00:00:00.000,01:00:00
Banashankari,murder,12.893051,77.543007,2019-11-17 00:00:00.000,20:30:00
Banashankari,murder,12.879223,77.567169,2017-01-13 00:00:00.000,
