district,year,crime_category,count
bagalkot,2020,cyber_crime,3
bagalkot,2020,crime_against_children,5
bagalkot,2020,crime_against_children,100
bagalkot,2020,violent_crime,1
bagalkot,2020,crime_against_children,36
bagalkot,2020,crime_against_children,121
bagalkot,2021,crime_against_women,9
bagalkot,2021,crime_against_women,159
bagalkot,2021,crime_against_women,34
bagalkot,2021,crime_against_women,3
bagalkot,2021,crime_against_women,2
bagalkot,2021,crime_against_women,29
bagalkot,2021,crime_against_women,28
bagalkot,2021,crime_against_children,42
bagalkot,2021,crime_against_women,12
ballari,2020,crime_against_children,4
ballari,2020,cyber_crime,5
ballari,2020,crime_against_children,1
ballari,2020,crime_against_children,5
ballari,2020,crime_against_children,37
ballari,2020,violent_crime,2
ballari,2020,other_crime,3
ballari,2020,crime_against_children,4
ballari,2020,crime_against_children,82
ballari,2021,crime_against_women,81
ballari,2021,crime_against_women,65
ballari,2021,crime_against_women,2
ballari,2021,crime_against_women,1
ballari,2021,crime_against_women,45
ballari,2021,crime_against_women,1
ballari,2021,crime_against_women,28
ballari,2021,crime_against_children,41
ballari,2021,crime_against_women,9
belagavi city,2020,crime_against_children,1
belagavi city,2020,violent_crime,3
belagavi city,2020,cyber_crime,6
belagavi city,2020,violent_crime,1
belagavi city,2020,crime_against_children,68
belagavi city,2020,violent_crime,4
belagavi city,2020,other_crime,34
belagavi city,2020,crime_against_children,56
belagavi city,2020,violent_crime,3
belagavi city,2021,crime_against_women,7
belagavi city,2021,crime_against_women,43
belagavi city,2021,crime_against_women,88
belagavi city,2021,crime_against_women,7
belagavi city,2021,crime_against_women,2
belagavi city,2021,crime_against_women,2
belagavi city,2021,crime_against_women,1
belagavi city,2021,crime_against_women,3
belagavi city,2021,crime_against_women,1
belagavi city,2021,crime_against_women,17
belagavi city,2021,crime_against_children,28
belagavi city,2021,crime_against_women,6
belagavi district,2020,cyber_crime,14
belagavi district,2020,crime_against_children,3
belagavi district,2020,crime_against_children,83
belagavi district,2020,violent_crime,7
belagavi district,2020,other_crime,11
belagavi district,2020,crime_against_children,19
belagavi district,2020,crime_against_children,253
belagavi district,2021,crime_against_women,11
belagavi district,2021,crime_against_women,276
belagavi district,2021,crime_against_women,127
belagavi district,2021,crime_against_women,14
belagavi district,2021,crime_against_women,3
belagavi district,2021,crime_against_women,17
belagavi district,2021,crime_against_women,1
belagavi district,2021,crime_against_women,74
belagavi district,2021,crime_against_children,126
belagavi district,2021,crime_against_women,22
bengaluru city,2020,crime_against_children,3
bengaluru city,2020,violent_crime,3
bengaluru city,2020,crime_against_children,9
bengaluru city,2020,cyber_crime,136
bengaluru city,2020,crime_against_children,17
bengaluru city,2020,violent_crime,3
bengaluru city,2020,crime_against_children,74
bengaluru city,2020,crime_against_children,2650
bengaluru city,2020,violent_crime,9
bengaluru city,2020,other_crime,57
bengaluru city,2020,other_crime,2
bengaluru city,2020,crime_against_children,11
bengaluru city,2020,crime_against_children,931
bengaluru city,2020,violent_crime,5
bengaluru city,2021,crime_against_women,87
bengaluru city,2021,violent_crime,5
bengaluru city,2021,crime_against_women,757
bengaluru city,2021,violent_crime,2
bengaluru city,2021,crime_against_women,584
bengaluru city,2021,crime_against_women,73
bengaluru city,2021,crime_against_women,29
bengaluru city,2021,crime_against_women,964
bengaluru city,2021,crime_against_women,7
bengaluru city,2021,crime_against_women,155
bengaluru city,2021,crime_against_women,29
bengaluru city,2021,crime_against_women,613
bengaluru city,2021,crime_against_children,468
bengaluru city,2021,crime_against_women,151
bengaluru district,2020,crime_against_children,2
bengaluru district,2020,cyber_crime,16
bengaluru district,2020,crime_against_children,2
bengaluru district,2020,crime_against_children,2
bengaluru district,2020,crime_against_children,241
bengaluru district,2020,violent_crime,4
bengaluru district,2020,other_crime,1
bengaluru district,2020,crime_against_children,5
bengaluru district,2020,crime_against_children,206
bengaluru district,2021,crime_against_women,15
bengaluru district,2021,crime_against_women,156
bengaluru district,2021,crime_against_women,149
bengaluru district,2021,crime_against_women,16
bengaluru district,2021,crime_against_women,14
bengaluru district,2021,crime_against_women,34
bengaluru district,2021,crime_against_women,5
bengaluru district,2021,crime_against_women,2
bengaluru district,2021,crime_against_women,194
bengaluru district,2021,crime_against_children,103
bengaluru district,2021,crime_against_women,21
bidar,2020,cyber_crime,7
bidar,2020,crime_against_children,2
bidar,2020,violent_crime,1
bidar,2020,crime_against_children,116
bidar,2020,violent_crime,6
bidar,2020,other_crime,36
bidar,2020,crime_against_children,102
bidar,2020,violent_crime,2
bidar,2021,crime_against_women,8
bidar,2021,crime_against_women,54
bidar,2021,crime_against_women,1
bidar,2021,crime_against_women,110
bidar,2021,crime_against_women,2
bidar,2021,crime_against_women,4
bidar,2021,crime_against_women,26
bidar,2021,crime_against_women,4
bidar,2021,crime_against_women,1
bidar,2021,crime_against_women,11
bidar,2021,crime_against_children,51
bidar,2021,crime_against_women,11
chamarajnagar,2020,crime_against_children,2
chamarajnagar,2020,crime_against_children,1
chamarajnagar,2020,crime_against_children,21
chamarajnagar,2020,other_crime,44
chamarajnagar,2020,crime_against_children,96
chamarajnagar,2021,crime_against_women,3
chamarajnagar,2021,crime_against_women,155
chamarajnagar,2021,crime_against_women,19
chamarajnagar,2021,crime_against_women,1
chamarajnagar,2021,crime_against_women,29
chamarajnagar,2021,crime_against_women,2
chamarajnagar,2021,crime_against_women,4
chamarajnagar,2021,crime_against_children,48
chamarajnagar,2021,crime_against_women,9
chikkaballapura,2020,crime_against_children,1
chikkaballapura,2020,violent_crime,2
chikkaballapura,2020,crime_against_children,2
chikkaballapura,2020,crime_against_children,1
chikkaballapura,2020,violent_crime,1
chikkaballapura,2020,crime_against_children,102
chikkaballapura,2020,violent_crime,1
chikkaballapura,2020,other_crime,42
chikkaballapura,2020,crime_against_children,8
chikkaballapura,2020,crime_against_children,276
chikkaballapura,2020,violent_crime,1
chikkaballapura,2021,crime_against_women,13
chikkaballapura,2021,crime_against_women,146
chikkaballapura,2021,crime_against_women,51
chikkaballapura,2021,crime_against_women,11
chikkaballapura,2021,crime_against_women,36
chikkaballapura,2021,crime_against_women,1
chikkaballapura,2021,crime_against_women,1
chikkaballapura,2021,crime_against_women,3
chikkaballapura,2021,crime_against_children,1
chikkaballapura,2021,crime_against_children,138
chikkaballapura,2021,crime_against_women,9
chikkamagaluru,2020,violent_crime,2
chikkamagaluru,2020,violent_crime,1
chikkamagaluru,2020,crime_against_children,1
chikkamagaluru,2020,crime_against_children,76
chikkamagaluru,2020,violent_crime,1
chikkamagaluru,2020,other_crime,6
chikkamagaluru,2020,crime_against_children,6
chikkamagaluru,2020,crime_against_children,244
chikkamagaluru,2020,violent_crime,4
chikkamagaluru,2021,crime_against_women,6
chikkamagaluru,2021,crime_against_women,223
chikkamagaluru,2021,crime_against_women,43
chikkamagaluru,2021,crime_against_women,4
chikkamagaluru,2021,crime_against_women,40
chikkamagaluru,2021,crime_against_women,2
chikkamagaluru,2021,crime_against_women,1
chikkamagaluru,2021,crime_against_women,1
chikkamagaluru,2021,crime_against_children,122
chikkamagaluru,2021,crime_against_women,6
chitradurga,2020,crime_against_children,9
chitradurga,2020,crime_against_children,2
chitradurga,2020,crime_against_children,1
chitradurga,2020,crime_against_children,246
chitradurga,2020,violent_crime,2
chitradurga,2020,other_crime,15
chitradurga,2020,crime_against_children,2
chitradurga,2020,crime_against_children,192
chitradurga,2021,crime_against_women,13
chitradurga,2021,crime_against_women,383
chitradurga,2021,crime_against_women,72
chitradurga,2021,crime_against_women,1
chitradurga,2021,crime_against_women,7
chitradurga,2021,crime_against_women,47
chitradurga,2021,crime_against_women,1
chitradurga,2021,crime_against_women,4
chitradurga,2021,crime_against_women,5
chitradurga,2021,crime_against_children,96
chitradurga,2021,crime_against_women,12
dakshina kannada,2020,crime_against_children,1
dakshina kannada,2020,cyber_crime,12
dakshina kannada,2020,crime_against_children,5
dakshina kannada,2020,crime_against_children,34
dakshina kannada,2020,violent_crime,1
dakshina kannada,2020,other_crime,63
dakshina kannada,2020,crime_against_children,190
dakshina kannada,2021,crime_against_women,2
dakshina kannada,2021,crime_against_women,57
dakshina kannada,2021,crime_against_women,31
dakshina kannada,2021,crime_against_women,6
dakshina kannada,2021,crime_against_women,4
dakshina kannada,2021,crime_against_women,2
dakshina kannada,2021,crime_against_women,12
dakshina kannada,2021,crime_against_children,65
dakshina kannada,2021,crime_against_women,10
davanagere,2020,crime_against_children,4
davanagere,2020,cyber_crime,3
davanagere,2020,crime_against_children,5
davanagere,2020,crime_against_children,3
davanagere,2020,crime_against_children,354
davanagere,2020,violent_crime,1
davanagere,2020,other_crime,3
davanagere,2020,other_crime,1
davanagere,2020,crime_against_children,6
davanagere,2020,crime_against_children,188
davanagere,2021,crime_against_women,9
davanagere,2021,crime_against_women,218
davanagere,2021,crime_against_women,1
davanagere,2021,crime_against_women,59
davanagere,2021,crime_against_women,3
davanagere,2021,crime_against_women,7
davanagere,2021,crime_against_women,93
davanagere,2021,crime_against_women,1
davanagere,2021,crime_against_women,1
davanagere,2021,crime_against_women,69
davanagere,2021,crime_against_women,2
davanagere,2021,crime_against_children,94
davanagere,2021,crime_against_women,17
dharwad,2020,cyber_crime,1
dharwad,2020,crime_against_children,4
dharwad,2020,crime_against_children,18
dharwad,2020,other_crime,16
dharwad,2020,other_crime,1
dharwad,2020,crime_against_children,6
dharwad,2020,crime_against_children,66
dharwad,2021,crime_against_women,1
dharwad,2021,crime_against_women,47
dharwad,2021,crime_against_women,1
dharwad,2021,crime_against_women,42
dharwad,2021,crime_against_women,1
dharwad,2021,crime_against_women,5
dharwad,2021,crime_against_children,33
dharwad,2021,crime_against_women,3
gadag,2020,cyber_crime,3
gadag,2020,crime_against_children,2
gadag,2020,crime_against_children,42
gadag,2020,violent_crime,1
gadag,2020,other_crime,5
gadag,2020,crime_against_children,5
gadag,2020,crime_against_children,101
gadag,2021,crime_against_women,4
gadag,2021,crime_against_women,56
gadag,2021,crime_against_women,23
gadag,2021,crime_against_women,3
gadag,2021,crime_against_women,2
gadag,2021,crime_against_women,5
gadag,2021,crime_against_women,1
gadag,2021,crime_against_women,1
gadag,2021,crime_against_women,1
gadag,2021,crime_against_children,34
gadag,2021,crime_against_women,7
hassan,2020,cyber_crime,4
hassan,2020,crime_against_children,1
hassan,2020,crime_against_children,1
hassan,2020,crime_against_children,136
hassan,2020,other_crime,15
hassan,2020,other_crime,3
hassan,2020,crime_against_children,13
hassan,2020,crime_against_children,304
hassan,2021,crime_against_women,9
hassan,2021,crime_against_women,273
hassan,2021,crime_against_women,50
hassan,2021,crime_against_women,4
hassan,2021,crime_against_women,5
hassan,2021,crime_against_women,78
hassan,2021,crime_against_women,66
hassan,2021,crime_against_children,152
hassan,2021,crime_against_women,13
haveri,2020,crime_against_children,1
haveri,2020,crime_against_children,2
haveri,2020,crime_against_children,63
haveri,2020,other_crime,1
haveri,2020,crime_against_children,1
haveri,2020,crime_against_children,156
haveri,2021,crime_against_women,6
haveri,2021,crime_against_women,112
haveri,2021,crime_against_women,36
haveri,2021,crime_against_women,4
haveri,2021,crime_against_women,31
haveri,2021,crime_against_women,58
haveri,2021,crime_against_children,78
haveri,2021,crime_against_women,13
hubballi dharwad city,2020,crime_against_children,1
hubballi dharwad city,2020,cyber_crime,10
hubballi dharwad city,2020,crime_against_children,4
hubballi dharwad city,2020,crime_against_children,60
hubballi dharwad city,2020,crime_against_children,2
hubballi dharwad city,2020,crime_against_children,78
hubballi dharwad city,2021,crime_against_women,4
hubballi dharwad city,2021,crime_against_women,55
hubballi dharwad city,2021,crime_against_women,87
hubballi dharwad city,2021,crime_against_women,9
hubballi dharwad city,2021,crime_against_women,2
hubballi dharwad city,2021,crime_against_women,6
hubballi dharwad city,2021,crime_against_women,5
hubballi dharwad city,2021,crime_against_children,39
hubballi dharwad city,2021,crime_against_women,10
k.g.f.,2020,crime_against_children,2
k.g.f.,2020,cyber_crime,8
k.g.f.,2020,crime_against_children,1
k.g.f.,2020,crime_against_children,17
k.g.f.,2020,violent_crime,1
k.g.f.,2020,crime_against_children,1
k.g.f.,2020,crime_against_children,60
k.g.f.,2021,crime_against_women,3
k.g.f.,2021,crime_against_women,39
k.g.f.,2021,crime_against_women,13
k.g.f.,2021,crime_against_women,4
k.g.f.,2021,crime_against_women,1
k.g.f.,2021,crime_against_women,17
k.g.f.,2021,crime_against_women,8
k.g.f.,2021,crime_against_children,30
k.g.f.,2021,crime_against_women,5
k.railways,2020,crime_against_children,1
k.railways,2020,crime_against_children,2
k.railways,2020,crime_against_children,7
k.railways,2020,crime_against_children,2
k.railways,2021,crime_against_women,3
k.railways,2021,crime_against_women,3
k.railways,2021,crime_against_women,1
k.railways,2021,crime_against_children,2
kalaburgi,2020,crime_against_children,2
