district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend,lag_1_count,lag_2_count,lag_3_count,rolling_mean_3,lag_1_women,lag_1_children,yoy_women,is_odd_year
0,2020,262,263,3,0,1,529,3,0.9924385633270322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,2021,42,276,0,0,0,318,2,1.0,-0.398866,529.0,0.0,0.0,0.0,263.0,262.0,0.0494,1
0,2022,524,355,6,0,2,887,3,0.9909808342728298,1.789308,318.0,529.0,0.0,578.0,276.0,42.0,0.2862,0
0,2023,84,552,0,0,0,636,2,1.0,-0.282976,887.0,318.0,529.0,613.6666666666666,355.0,524.0,0.5549,1
1,2020,133,199,5,3,2,342,4,0.9707602339181286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2021,41,232,0,0,0,273,2,1.0,-0.201754,342.0,0.0,0.0,0.0,199.0,133.0,0.1658,1
1,2022,266,283,10,6,4,569,4,0.9648506151142356,1.084249,273.0,342.0,0.0,394.6666666666667,232.0,41.0,0.2198,0
1,2023,82,464,0,0,0,546,2,1.0,-0.040422,569.0,273.0,342.0,462.6666666666667,283.0,266.0,0.6396,1
2,2020,125,162,6,34,11,338,4,0.849112426035503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2021,28,177,0,0,0,205,2,1.0,-0.393491,338.0,0.0,0.0,0.0,162.0,125.0,0.0926,1
2,2022,250,233,12,68,22,585,4,0.8256410256410256,1.853659,205.0,338.0,0.0,376.0,177.0,28.0,0.3164,0
2,2023,56,354,0,0,0,410,2,1.0,-0.299145,585.0,205.0,338.0,400.0,233.0,250.0,0.5193,1
3,2020,358,425,14,11,7,815,4,0.9607361963190184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2021,126,545,0,0,0,671,2,1.0,-0.176687,815.0,0.0,0.0,0.0,425.0,358.0,0.2824,1
3,2022,716,618,28,22,14,1398,4,0.9542203147353362,1.083458,671.0,815.0,0.0,961.3333333333334,545.0,126.0,0.1339,0
3,2023,252,1090,0,0,0,1342,2,1.0,-0.040057,1398.0,671.0,815.0,1137.0,618.0,716.0,0.7638,1
4,2020,3695,3074,136,59,20,6984,4,0.9692153493699884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2021,468,3449,0,0,7,3924,3,0.9982161060142712,-0.438144,6984.0,0.0,0.0,0.0,3074.0,3695.0,0.122,1
4,2022,7390,4272,272,118,40,12092,4,0.9644392987098908,2.081549,3924.0,6984.0,0.0,7666.666666666667,3449.0,468.0,0.2386,0
4,2023,936,6898,0,0,14,7848,3,0.9982161060142712,-0.350976,12092.0,3924.0,6984.0,7954.666666666667,4272.0,7390.0,0.6147,1
5,2020,458,559,16,1,4,1038,4,0.9797687861271676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2021,103,606,0,0,0,709,2,1.0,-0.316956,1038.0,0.0,0.0,0.0,559.0,458.0,0.0841,1
5,2022,916,819,32,2,8,1777,4,0.976364659538548,1.506347,709.0,1038.0,0.0,1174.6666666666667,606.0,103.0,0.3515,0
5,2023,206,1212,0,0,0,1418,2,1.0,-0.202026,1777.0,709.0,1038.0,1301.3333333333333,819.0,916.0,0.4799,1
6,2020,220,183,7,36,9,455,4,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2021,51,232,0,0,0,283,2,1.0,-0.378022,455.0,0.0,0.0,0.0,183.0,220.0,0.2678,1
6,2022,440,281,14,72,18,825,4,0.8739393939393939,1.915194,283.0,455.0,0.0,521.0,232.0,51.0,0.2112,0
6,2023,102,464,0,0,0,566,2,1.0,-0.313939,825.0,283.0,455.0,558.0,281.0,440.0,0.6512,1
7,2020,120,206,0,44,0,370,2,0.8810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,2021,48,222,0,0,0,270,2,1.0,-0.27027,370.0,0.0,0.0,0.0,206.0,120.0,0.0777,1
7,2022,240,287,0,88,0,615,2,0.8569105691056911,1.277778,270.0,370.0,0.0,418.3333333333333,222.0,48.0,0.2928,0
7,2023,96,444,0,0,0,540,2,1.0,-0.121951,615.0,270.0,370.0,475.0,287.0,240.0,0.547,1
8,2020,390,229,0,42,5,666,3,0.9294294294294294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2021,139,271,0,0,0,410,2,1.0,-0.384384,666.0,0.0,0.0,0.0,229.0,390.0,0.1834,1
8,2022,780,329,0,84,10,1203,3,0.9218620116375728,1.934146,410.0,666.0,0.0,759.6666666666666,271.0,139.0,0.214,0
8,2023,278,542,0,0,0,820,2,1.0,-0.318371,1203.0,410.0,666.0,811.0,329.0,780.0,0.6474,1
9,2020,327,299,0,6,8,640,3,0.978125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2021,122,326,0,0,0,448,2,1.0,-0.3,640.0,0.0,0.0,0.0,299.0,327.0,0.0903,1
9,2022,654,383,0,12,16,1065,3,0.9737089201877934,1.377232,448.0,640.0,0.0,717.6666666666666,326.0,122.0,0.1748,0
9,2023,244,652,0,0,0,896,2,1.0,-0.158685,1065.0,448.0,640.0,803.0,383.0,654.0,0.7023,1
10,2020,452,479,0,15,2,948,3,0.9820675105485231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2021,96,545,0,0,0,641,2,1.0,-0.32384,948.0,0.0,0.0,0.0,479.0,452.0,0.1378,1
10,2022,904,728,0,30,4,1666,3,0.979591836734694,1.599064,641.0,948.0,0.0,1085.0,545.0,96.0,0.3358,0
10,2023,192,1090,0,0,0,1282,2,1.0,-0.230492,1666.0,641.0,948.0,1196.3333333333333,728.0,904.0,0.4973,1
