district,year,crime_type,count
bagalkot,2020,cyber crimes/information technology act,3
bagalkot,2020,exposure and abandonment (sec.317 ipc),5
bagalkot,2020,kidnapping and abduction of children,100
bagalkot,2020,murder (sec.302 ipc),1
bagalkot,2020,prohibition of child marriage act,36
bagalkot,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",121
bagalkot,2020,total crimes against children (ipc+ sll),123
bagalkot,2020,total ipc crimes against children,40
bagalkot,2020,total sll crimes against children,83
bagalkot,2021,abetment to suicide of women (sec. 305/306 ipc),9
bagalkot,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),159
bagalkot,2021,cruelty by husband or his relatives (sec. 498 a ipc),34
bagalkot,2021,cyber crimes/information technology act (women centric crimes only),3
bagalkot,2021,dowry deaths (sec. 304b ipc),2
bagalkot,2021,"dowry prohibition act, 1961",29
bagalkot,2021,kidnapping & abduction of women,28
bagalkot,2021,protection of children from sexual violence act (girl child victims only),42
bagalkot,2021,rape (sec. 376 ipc),12
bagalkot,2021,total crime against women (ipc+sll),318
ballari,2020,child labour (prohibition & regulation) act,4
ballari,2020,cyber crimes/information technology act,5
ballari,2020,exposure and abandonment (sec.317 ipc),1
ballari,2020,juveniles justice (care and protection of children) act,5
ballari,2020,kidnapping and abduction of children,37
ballari,2020,murder (sec.302 ipc),2
ballari,2020,other ipc crimes,3
ballari,2020,prohibition of child marriage act,4
ballari,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",82
ballari,2020,total crimes against children (ipc+ sll),102
ballari,2020,total ipc crimes against children,43
ballari,2020,total sll crimes against children,59
ballari,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),81
ballari,2021,cruelty by husband or his relatives (sec. 498 a ipc),65
ballari,2021,cyber crimes/information technology act (women centric crimes only),2
ballari,2021,dowry deaths (sec. 304b ipc),1
ballari,2021,"dowry prohibition act, 1961",45
ballari,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
ballari,2021,kidnapping & abduction of women,28
ballari,2021,protection of children from sexual violence act (girl child victims only),41
ballari,2021,rape (sec. 376 ipc),9
ballari,2021,total crime against women (ipc+sll),273
belagavi city,2020,abetment of suicide of child (sec.305 ipc),1
belagavi city,2020,attempt to commit murder (sec.307 ipc),3
belagavi city,2020,cyber crimes/information technology act,6
belagavi city,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",1
belagavi city,2020,kidnapping and abduction of children,68
belagavi city,2020,murder (sec.302 ipc),4
belagavi city,2020,other ipc crimes,34
belagavi city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",56
belagavi city,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",3
belagavi city,2020,total crimes against children (ipc+ sll),114
belagavi city,2020,total ipc crimes against children,80
belagavi city,2020,total sll crimes against children,34
belagavi city,2021,abetment to suicide of women (sec. 305/306 ipc),7
belagavi city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),43
belagavi city,2021,cruelty by husband or his relatives (sec. 498 a ipc),88
belagavi city,2021,cyber crimes/information technology act (women centric crimes only),7
belagavi city,2021,dowry deaths (sec. 304b ipc),2
belagavi city,2021,"dowry prohibition act, 1961",2
belagavi city,2021,human trafficking (sec. 370 & 370a ipc),1
belagavi city,2021,immoral traffic (prevention) act 1956 (women victims cases only),3
belagavi city,2021,insult to the modesty of women (sec. 509 ipc),1
belagavi city,2021,kidnapping & abduction of women,17
belagavi city,2021,protection of children from sexual violence act (girl child victims only),28
belagavi city,2021,rape (sec. 376 ipc),6
belagavi city,2021,total crime against women (ipc+sll),205
belagavi district,2020,cyber crimes/information technology act,14
belagavi district,2020,exposure and abandonment (sec.317 ipc),3
belagavi district,2020,kidnapping and abduction of children,83
belagavi district,2020,murder (sec.302 ipc),7
belagavi district,2020,other ipc crimes,11
belagavi district,2020,prohibition of child marriage act,19
belagavi district,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",253
belagavi district,2020,total crimes against children (ipc+ sll),264
belagavi district,2020,total ipc crimes against children,104
belagavi district,2020,total sll crimes against children,160
belagavi district,2021,abetment to suicide of women (sec. 305/306 ipc),11
belagavi district,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),276
belagavi district,2021,cruelty by husband or his relatives (sec. 498 a ipc),127
belagavi district,2021,cyber crimes/information technology act (women centric crimes only),14
belagavi district,2021,dowry deaths (sec. 304b ipc),3
belagavi district,2021,"dowry prohibition act, 1961",17
belagavi district,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
belagavi district,2021,kidnapping & abduction of women,74
belagavi district,2021,protection of children from sexual violence act (girl child victims only),126
belagavi district,2021,rape (sec. 376 ipc),22
belagavi district,2021,total crime against women (ipc+sll),671
bengaluru city,2020,abetment of suicide of child (sec.305 ipc),3
bengaluru city,2020,attempt to commit murder (sec.307 ipc),3
bengaluru city,2020,child labour (prohibition & regulation) act,9
bengaluru city,2020,cyber crimes/information technology act,136
bengaluru city,2020,exposure and abandonment (sec.317 ipc),17
bengaluru city,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",3
bengaluru city,2020,juveniles justice (care and protection of children) act,74
bengaluru city,2020,kidnapping and abduction of children,2650
bengaluru city,2020,murder (sec.302 ipc),9
bengaluru city,2020,other ipc crimes,57
bengaluru city,2020,other sll crimes,2
bengaluru city,2020,prohibition of child marriage act,11
bengaluru city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",931
bengaluru city,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",5
bengaluru city,2020,total crimes against children (ipc+ sll),1578
bengaluru city,2020,total ipc crimes against children,983
bengaluru city,2020,total sll crimes against children,595
bengaluru city,2021,abetment to suicide of women (sec. 305/306 ipc),87
bengaluru city,2021,acid attack (sec. 326a ipc),5
bengaluru city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),757
bengaluru city,2021,attempt to acid attack (sec. 326b ipc),2
bengaluru city,2021,cruelty by husband or his relatives (sec. 498 a ipc),584
bengaluru city,2021,cyber crimes/information technology act (women centric crimes only),73
bengaluru city,2021,dowry deaths (sec. 304b ipc),29
bengaluru city,2021,"dowry prohibition act, 1961",964
bengaluru city,2021,human trafficking (sec. 370 & 370a ipc),7
bengaluru city,2021,immoral traffic (prevention) act 1956 (women victims cases only),155
bengaluru city,2021,insult to the modesty of women (sec. 509 ipc),29
bengaluru city,2021,kidnapping & abduction of women,613
bengaluru city,2021,protection of children from sexual violence act (girl child victims only),468
bengaluru city,2021,rape (sec. 376 ipc),151
bengaluru city,2021,total crime against women (ipc+sll),3924
bengaluru district,2020,child labour (prohibition & regulation) act,2
bengaluru district,2020,cyber crimes/information technology act,16
bengaluru district,2020,exposure and abandonment (sec.317 ipc),2
bengaluru district,2020,juveniles justice (care and protection of children) act,2
bengaluru district,2020,kidnapping and abduction of children,241
bengaluru district,2020,murder (sec.302 ipc),4
bengaluru district,2020,other ipc crimes,1
bengaluru district,2020,prohibition of child marriage act,5
bengaluru district,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",206
bengaluru district,2020,total crimes against children (ipc+ sll),376
bengaluru district,2020,total ipc crimes against children,248
bengaluru district,2020,total sll crimes against children,128
bengaluru district,2021,abetment to suicide of women (sec. 305/306 ipc),15
bengaluru district,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),156
bengaluru district,2021,cruelty by husband or his relatives (sec. 498 a ipc),149
bengaluru district,2021,cyber crimes/information technology act (women centric crimes only),16
bengaluru district,2021,dowry deaths (sec. 304b ipc),14
bengaluru district,2021,"dowry prohibition act, 1961",34
bengaluru district,2021,immoral traffic (prevention) act 1956 (women victims cases only),5
bengaluru district,2021,insult to the modesty of women (sec. 509 ipc),2
bengaluru district,2021,kidnapping & abduction of women,194
bengaluru district,2021,protection of children from sexual violence act (girl child victims only),103
bengaluru district,2021,rape (sec. 376 ipc),21
bengaluru district,2021,total crime against women (ipc+sll),709
bidar,2020,cyber crimes/information technology act,7
bidar,2020,exposure and abandonment (sec.317 ipc),2
bidar,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",1
bidar,2020,kidnapping and abduction of children,116
bidar,2020,murder (sec.302 ipc),6
bidar,2020,other ipc crimes,36
bidar,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",102
bidar,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",2
bidar,2020,total crimes against children (ipc+ sll),144
bidar,2020,total ipc crimes against children,86
bidar,2020,total sll crimes against children,58
bidar,2021,abetment to suicide of women (sec. 305/306 ipc),8
bidar,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),54
bidar,2021,attempt to commit rape (sec. 376/511 ipc),1
bidar,2021,cruelty by husband or his relatives (sec. 498 a ipc),110
bidar,2021,cyber crimes/information technology act (women centric crimes only),2
bidar,2021,dowry deaths (sec. 304b ipc),4
bidar,2021,"dowry prohibition act, 1961",26
bidar,2021,immoral traffic (prevention) act 1956 (women victims cases only),4
bidar,2021,"indecent representation of women (prohibition) act, 1986",1
bidar,2021,kidnapping & abduction of women,11
bidar,2021,protection of children from sexual violence act (girl child victims only),51
bidar,2021,rape (sec. 376 ipc),11
bidar,2021,total crime against women (ipc+sll),283
chamarajnagar,2020,exposure and abandonment (sec.317 ipc),2
chamarajnagar,2020,juveniles justice (care and protection of children) act,1
chamarajnagar,2020,kidnapping and abduction of children,21
chamarajnagar,2020,other ipc crimes,44
chamarajnagar,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",96
chamarajnagar,2020,total crimes against children (ipc+ sll),116
chamarajnagar,2020,total ipc crimes against children,67
chamarajnagar,2020,total sll crimes against children,49
chamarajnagar,2021,abetment to suicide of women (sec. 305/306 ipc),3
chamarajnagar,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),155
chamarajnagar,2021,cruelty by husband or his relatives (sec. 498 a ipc),19
chamarajnagar,2021,dowry deaths (sec. 304b ipc),1
chamarajnagar,2021,"dowry prohibition act, 1961",29
chamarajnagar,2021,insult to the modesty of women (sec. 509 ipc),2
chamarajnagar,2021,kidnapping & abduction of women,4
chamarajnagar,2021,protection of children from sexual violence act (girl child victims only),48
chamarajnagar,2021,rape (sec. 376 ipc),9
chamarajnagar,2021,total crime against women (ipc+sll),270
chikkaballapura,2020,abetment of suicide of child (sec.305 ipc),1
chikkaballapura,2020,attempt to commit murder (sec.307 ipc),2
chikkaballapura,2020,child labour (prohibition & regulation) act,2
chikkaballapura,2020,exposure and abandonment (sec.317 ipc),1
chikkaballapura,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",1
chikkaballapura,2020,kidnapping and abduction of children,102
chikkaballapura,2020,murder (sec.302 ipc),1
chikkaballapura,2020,other ipc crimes,42
chikkaballapura,2020,prohibition of child marriage act,8
chikkaballapura,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",276
chikkaballapura,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",1
chikkaballapura,2020,total crimes against children (ipc+ sll),248
chikkaballapura,2020,total ipc crimes against children,100
chikkaballapura,2020,total sll crimes against children,148
chikkaballapura,2021,abetment to suicide of women (sec. 305/306 ipc),13
chikkaballapura,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),146
chikkaballapura,2021,cruelty by husband or his relatives (sec. 498 a ipc),51
chikkaballapura,2021,dowry deaths (sec. 304b ipc),11
chikkaballapura,2021,"dowry prohibition act, 1961",36
chikkaballapura,2021,human trafficking (sec. 370 & 370a ipc),1
chikkaballapura,2021,insult to the modesty of women (sec. 509 ipc),1
chikkaballapura,2021,kidnapping & abduction of women,3
chikkaballapura,2021,miscarriage (sec. 313 & 314 ipc),1
chikkaballapura,2021,protection of children from sexual violence act (girl child victims only),138
