district,crime_type,year,time_of_occurrence,date_of_occurrence,police_deployed
Bangalore,sexual assault,2020,01-01-2020 22:28,2020-01-01 14:00:00,19
Bangalore,cybercrime,2020,02-01-2020 10:42,2020-01-01 18:00:00,3
Bangalore,extortion,2020,02-01-2020 18:02,2020-01-01 19:00:00,2
Bangalore,drug offense,2020,02-01-2020 20:47,2020-01-02 00:00:00,1
Bangalore,vandalism,2020,02-01-2020 19:56,2020-01-02 04:00:00,19
Bangalore,arson,2020,06-01-2020 09:35,2020-01-05 11:00:00,3
Bangalore,homicide,2020,06-01-2020 14:55,2020-01-05 16:00:00,7
Bangalore,homicide,2020,06-01-2020 19:17,2020-01-06 12:00:00,2
Bangalore,counterfeiting,2020,07-01-2020 22:27,2020-01-07 03:00:00,8
Bangalore,illegal possession,2020,07-01-2020 16:17,2020-01-07 07:00:00,16
Bangalore,domestic violence,2020,07-01-2020 19:37,2020-01-07 10:00:00,5
Bangalore,traffic violation,2020,09-01-2020 07:34,2020-01-08 12:00:00,1
Bangalore,fraud,2020,09-01-2020 08:32,2020-01-08 17:00:00,8
Bangalore,counterfeiting,2020,10-01-2020 12:37,2020-01-09 14:00:00,3
Bangalore,vehicle - stolen,2020,10-01-2020 02:45,2020-01-09 21:00:00,13
Bangalore,fraud,2020,10-01-2020 19:37,2020-01-10 06:00:00,11
Bangalore,cybercrime,2020,11-01-2020 00:10,2020-01-10 08:00:00,5
Bangalore,vandalism,2020,11-01-2020 03:03,2020-01-11 01:00:00,1
Bangalore,vehicle - stolen,2020,12-01-2020 14:37,2020-01-12 09:00:00,6
Bangalore,identity theft,2020,13-01-2020 01:39,2020-01-12 23:00:00,9
Bangalore,domestic violence,2020,13-01-2020 11:43,2020-01-13 06:00:00,6
Bangalore,sexual assault,2020,14-01-2020 17:26,2020-01-13 20:00:00,12
Bangalore,drug offense,2020,14-01-2020 16:05,2020-01-14 00:00:00,13
Bangalore,assault,2020,14-01-2020 04:12,2020-01-14 01:00:00,6
Bangalore,arson,2020,15-01-2020 02:59,2020-01-14 07:00:00,2
Bangalore,arson,2020,14-01-2020 21:12,2020-01-14 10:00:00,18
Bangalore,shoplifting,2020,14-01-2020 20:43,2020-01-14 12:00:00,6
Bangalore,burglary,2020,15-01-2020 13:02,2020-01-14 15:00:00,6
Bangalore,shoplifting,2020,15-01-2020 21:18,2020-01-14 22:00:00,1
Bangalore,public intoxication,2020,15-01-2020 18:19,2020-01-15 13:00:00,7
Bangalore,counterfeiting,2020,17-01-2020 02:08,2020-01-16 09:00:00,19
Bangalore,vehicle - stolen,2020,18-01-2020 21:47,2020-01-18 04:00:00,12
Bangalore,firearm offense,2020,18-01-2020 20:36,2020-01-18 19:00:00,3
Bangalore,sexual assault,2020,21-01-2020 21:30,2020-01-21 00:00:00,9
Bangalore,burglary,2020,21-01-2020 21:14,2020-01-21 18:00:00,3
Bangalore,identity theft,2020,22-01-2020 00:42,2020-01-21 21:00:00,4
Bangalore,assault,2020,22-01-2020 20:41,2020-01-21 22:00:00,1
Bangalore,homicide,2020,23-01-2020 03:41,2020-01-22 13:00:00,4
Bangalore,kidnapping,2020,23-01-2020 21:54,2020-01-23 01:00:00,5
Bangalore,robbery,2020,24-01-2020 16:08,2020-01-24 06:00:00,7
Bangalore,arson,2020,24-01-2020 23:58,2020-01-24 19:00:00,4
Bangalore,public intoxication,2020,26-01-2020 00:29,2020-01-25 04:00:00,2
Bangalore,robbery,2020,26-01-2020 05:35,2020-01-25 15:00:00,14
Bangalore,cybercrime,2020,26-01-2020 14:05,2020-01-25 16:00:00,8
Bangalore,shoplifting,2020,26-01-2020 15:56,2020-01-25 19:00:00,9
Bangalore,domestic violence,2020,26-01-2020 19:04,2020-01-25 22:00:00,9
Bangalore,traffic violation,2020,26-01-2020 17:06,2020-01-26 04:00:00,15
Bangalore,burglary,2020,26-01-2020 16:31,2020-01-26 07:00:00,13
Bangalore,counterfeiting,2020,27-01-2020 16:50,2020-01-26 18:00:00,18
Bangalore,drug offense,2020,28-01-2020 08:20,2020-01-27 17:00:00,5
Bangalore,burglary,2020,28-01-2020 23:25,2020-01-28 05:00:00,18
Bangalore,kidnapping,2020,29-01-2020 23:53,2020-01-29 01:00:00,13
Bangalore,illegal possession,2020,29-01-2020 22:07,2020-01-29 17:00:00,19
Bangalore,sexual assault,2020,30-01-2020 06:10,2020-01-29 19:00:00,6
Bangalore,arson,2020,30-01-2020 17:34,2020-01-30 17:00:00,16
Bangalore,public intoxication,2020,31-01-2020 06:07,2020-01-30 19:00:00,3
Bangalore,arson,2020,31-01-2020 11:31,2020-01-31 01:00:00,13
Bangalore,public intoxication,2020,01-02-2020 00:37,2020-01-31 07:00:00,9
Bangalore,cybercrime,2020,31-01-2020 22:24,2020-01-31 09:00:00,3
Bangalore,assault,2020,31-01-2020 22:08,2020-01-31 11:00:00,11
Bangalore,kidnapping,2020,31-01-2020 23:08,2020-01-31 12:00:00,4
Bangalore,public intoxication,2020,01-02-2020 09:41,2020-01-31 19:00:00,3
Bangalore,counterfeiting,2020,01-02-2020 18:16,2020-01-31 20:00:00,6
Bangalore,fraud,2020,01-02-2020 23:29,2020-02-01 00:00:00,3
Bangalore,shoplifting,2020,03-02-2020 18:22,2020-02-03 13:00:00,14
Bangalore,counterfeiting,2020,03-02-2020 22:21,2020-02-03 15:00:00,2
Bangalore,public intoxication,2020,04-02-2020 09:21,2020-02-04 09:00:00,4
Bangalore,vandalism,2020,06-02-2020 10:14,2020-02-05 12:00:00,19
Bangalore,burglary,2020,06-02-2020 05:35,2020-02-05 18:00:00,11
Bangalore,identity theft,2020,07-02-2020 00:30,2020-02-06 07:00:00,12
Bangalore,identity theft,2020,06-02-2020 23:22,2020-02-06 16:00:00,1
Bangalore,arson,2020,07-02-2020 05:01,2020-02-06 22:00:00,1
Bangalore,identity theft,2020,07-02-2020 19:36,2020-02-07 00:00:00,10
Bangalore,domestic violence,2020,08-02-2020 00:09,2020-02-07 06:00:00,10
Bangalore,arson,2020,07-02-2020 18:38,2020-02-07 09:00:00,12
Bangalore,extortion,2020,08-02-2020 03:52,2020-02-07 17:00:00,13
Bangalore,drug offense,2020,08-02-2020 15:27,2020-02-07 21:00:00,1
Bangalore,burglary,2020,09-02-2020 20:43,2020-02-08 21:00:00,14
Bangalore,vandalism,2020,10-02-2020 07:12,2020-02-09 10:00:00,1
Bangalore,vehicle - stolen,2020,10-02-2020 16:33,2020-02-10 10:00:00,15
Bangalore,vandalism,2020,11-02-2020 00:37,2020-02-10 12:00:00,16
Bangalore,shoplifting,2020,12-02-2020 15:44,2020-02-11 18:00:00,13
Bangalore,shoplifting,2020,12-02-2020 22:00,2020-02-12 08:00:00,9
Bangalore,drug offense,2020,13-02-2020 03:56,2020-02-12 15:00:00,6
Bangalore,vehicle - stolen,2020,13-02-2020 15:11,2020-02-13 07:00:00,10
Bangalore,traffic violation,2020,13-02-2020 20:53,2020-02-13 12:00:00,10
Bangalore,firearm offense,2020,14-02-2020 06:18,2020-02-14 04:00:00,11
Bangalore,burglary,2020,15-02-2020 17:41,2020-02-15 01:00:00,5
Bangalore,traffic violation,2020,16-02-2020 12:33,2020-02-15 19:00:00,1
Bangalore,assault,2020,16-02-2020 05:18,2020-02-16 03:00:00,9
Bangalore,identity theft,2020,17-02-2020 07:20,2020-02-16 18:00:00,14
Bangalore,extortion,2020,16-02-2020 23:38,2020-02-16 22:00:00,3
Bangalore,illegal possession,2020,17-02-2020 21:35,2020-02-17 04:00:00,9
Bangalore,traffic violation,2020,18-02-2020 07:53,2020-02-18 04:00:00,12
Bangalore,firearm offense,2020,19-02-2020 07:37,2020-02-18 12:00:00,1
Bangalore,kidnapping,2020,19-02-2020 21:47,2020-02-19 01:00:00,8
Bangalore,homicide,2020,19-02-2020 11:18,2020-02-19 11:00:00,19
Bangalore,cybercrime,2020,20-02-2020 02:14,2020-02-19 20:00:00,5
Bangalore,firearm offense,2020,20-02-2020 18:47,2020-02-20 11:00:00,8
Bangalore,shoplifting,2020,20-02-2020 19:21,2020-02-20 19:00:00,17
