district,year,crime_type,count,police_deployed
bangalore,2020,arson,30,10.0
bangalore,2020,assault,50,9.36
bangalore,2020,burglary,45,10.177777777777775
bangalore,2020,counterfeiting,39,10.0
bangalore,2020,cybercrime,35,10.857142857142858
bangalore,2020,domestic violence,38,9.421052631578949
bangalore,2020,drug offense,38,9.36842105263158
bangalore,2020,extortion,38,9.763157894736842
bangalore,2020,firearm offense,33,10.06060606060606
bangalore,2020,fraud,27,9.37037037037037
bangalore,2020,homicide,46,8.282608695652174
bangalore,2020,identity theft,39,10.076923076923077
bangalore,2020,illegal possession,33,10.969696969696969
bangalore,2020,kidnapping,40,9.675
bangalore,2020,public intoxication,42,8.571428571428571
bangalore,2020,robbery,29,10.344827586206897
bangalore,2020,sexual assault,25,10.52
bangalore,2020,shoplifting,44,10.227272727272728
bangalore,2020,traffic violation,32,9.375
bangalore,2020,vandalism,43,11.418604651162791
bangalore,2020,vehicle - stolen,29,9.724137931034482
bangalore,2021,arson,23,8.521739130434783
bangalore,2021,assault,38,11.605263157894736
bangalore,2021,burglary,44,9.363636363636363
bangalore,2021,counterfeiting,38,10.31578947368421
bangalore,2021,cybercrime,35,9.4
bangalore,2021,domestic violence,48,9.104166666666666
bangalore,2021,drug offense,42,9.095238095238097
bangalore,2021,extortion,31,10.838709677419354
bangalore,2021,firearm offense,32,9.9375
bangalore,2021,fraud,43,10.488372093023257
bangalore,2021,homicide,35,9.571428571428571
bangalore,2021,identity theft,38,10.105263157894736
bangalore,2021,illegal possession,36,9.944444444444445
bangalore,2021,kidnapping,37,10.08108108108108
bangalore,2021,public intoxication,47,9.48936170212766
bangalore,2021,robbery,44,8.386363636363637
bangalore,2021,sexual assault,30,10.2
bangalore,2021,shoplifting,30,10.1
bangalore,2021,traffic violation,37,10.567567567567568
bangalore,2021,vandalism,42,9.333333333333334
bangalore,2021,vehicle - stolen,40,9.475
bangalore,2022,arson,43,9.116279069767442
bangalore,2022,assault,35,10.628571428571428
bangalore,2022,burglary,30,11.0
bangalore,2022,counterfeiting,33,9.909090909090908
bangalore,2022,cybercrime,38,10.31578947368421
bangalore,2022,domestic violence,34,10.264705882352942
bangalore,2022,drug offense,34,10.235294117647058
bangalore,2022,extortion,49,9.489795918367347
bangalore,2022,firearm offense,45,11.311111111111112
bangalore,2022,fraud,35,10.628571428571428
bangalore,2022,homicide,38,11.13157894736842
bangalore,2022,identity theft,35,9.514285714285714
bangalore,2022,illegal possession,47,10.297872340425531
bangalore,2022,kidnapping,38,10.052631578947368
bangalore,2022,public intoxication,41,8.439024390243903
bangalore,2022,robbery,28,9.428571428571429
bangalore,2022,sexual assault,44,9.704545454545457
bangalore,2022,shoplifting,39,9.76923076923077
bangalore,2022,traffic violation,27,10.555555555555555
bangalore,2022,vandalism,39,11.384615384615383
bangalore,2022,vehicle - stolen,37,9.45945945945946
bangalore,2023,arson,45,9.977777777777778
bangalore,2023,assault,33,9.515151515151516
bangalore,2023,burglary,48,10.333333333333334
bangalore,2023,counterfeiting,39,10.41025641025641
bangalore,2023,cybercrime,30,10.566666666666666
bangalore,2023,domestic violence,35,11.371428571428572
bangalore,2023,drug offense,32,12.1875
bangalore,2023,extortion,39,9.666666666666666
bangalore,2023,firearm offense,32,11.59375
bangalore,2023,fraud,37,9.135135135135137
bangalore,2023,homicide,36,8.11111111111111
bangalore,2023,identity theft,40,9.325
bangalore,2023,illegal possession,35,10.257142857142858
bangalore,2023,kidnapping,30,10.166666666666666
bangalore,2023,public intoxication,52,10.442307692307692
bangalore,2023,robbery,42,9.11904761904762
bangalore,2023,sexual assault,35,10.342857142857143
bangalore,2023,shoplifting,26,10.846153846153848
bangalore,2023,traffic violation,39,10.512820512820513
bangalore,2023,vandalism,34,10.676470588235292
bangalore,2023,vehicle - stolen,43,10.534883720930232
bangalore,2024,arson,13,10.846153846153848
bangalore,2024,assault,19,10.31578947368421
bangalore,2024,burglary,20,10.35
bangalore,2024,counterfeiting,27,9.814814814814817
bangalore,2024,cybercrime,17,8.588235294117647
bangalore,2024,domestic violence,16,9.125
bangalore,2024,drug offense,22,10.454545454545457
bangalore,2024,extortion,31,10.709677419354838
bangalore,2024,firearm offense,22,9.545454545454543
bangalore,2024,fraud,10,11.0
bangalore,2024,homicide,27,9.444444444444445
bangalore,2024,identity theft,25,7.56
bangalore,2024,illegal possession,25,8.24
bangalore,2024,kidnapping,23,8.043478260869565
bangalore,2024,public intoxication,16,10.9375
bangalore,2024,robbery,24,10.041666666666666
bangalore,2024,sexual assault,22,10.727272727272728
bangalore,2024,shoplifting,28,8.285714285714286
bangalore,2024,traffic violation,31,11.129032258064516
bangalore,2024,vandalism,21,9.80952380952381
bangalore,2024,vehicle - stolen,13,10.384615384615383
