district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend
0,2020,262,0,3,0,1,266,3,0.9849624060150376,0.0
0,2021,42,276,0,0,0,318,2,1.0,0.19548872180451138
0,2022,524,0,6,0,2,532,3,0.9849624060150376,0.6729559748427674
0,2023,84,552,0,0,0,636,2,1.0,0.19548872180451138
1,2020,133,0,5,3,2,143,4,0.9300699300699301,0.0
1,2021,41,232,0,0,0,273,2,1.0,0.9090909090909092
1,2022,266,0,10,6,4,286,4,0.9300699300699301,0.04761904761904767
1,2023,82,464,0,0,0,546,2,1.0,0.9090909090909092
2,2020,125,0,6,34,11,176,4,0.7102272727272727,0.0
2,2021,28,177,0,0,0,205,2,1.0,0.1647727272727273
2,2022,250,0,12,68,22,352,4,0.7102272727272727,0.7170731707317073
2,2023,56,354,0,0,0,410,2,1.0,0.1647727272727273
3,2020,358,0,14,11,7,390,4,0.9179487179487179,0.0
3,2021,126,545,0,0,0,671,2,1.0,0.7205128205128206
3,2022,716,0,28,22,14,780,4,0.9179487179487179,0.1624441132637855
3,2023,252,1090,0,0,0,1342,2,1.0,0.7205128205128206
4,2020,3695,0,136,59,20,3910,4,0.9450127877237852,0.0
4,2021,468,3449,0,0,7,3924,3,0.9982161060142711,0.003580562659846631
4,2022,7390,0,272,118,40,7820,4,0.9450127877237852,0.9928644240570845
4,2023,936,6898,0,0,14,7848,3,0.9982161060142711,0.003580562659846631
5,2020,458,0,16,1,4,479,4,0.9561586638830898,0.0
5,2021,103,606,0,0,0,709,2,1.0,0.48016701461377864
5,2022,916,0,32,2,8,958,4,0.9561586638830898,0.35119887165021146
5,2023,206,1212,0,0,0,1418,2,1.0,0.48016701461377864
6,2020,220,0,7,36,9,272,4,0.8088235294117647,0.0
6,2021,51,232,0,0,0,283,2,1.0,0.040441176470588314
6,2022,440,0,14,72,18,544,4,0.8088235294117647,0.9222614840989398
6,2023,102,464,0,0,0,566,2,1.0,0.040441176470588314
7,2020,120,0,0,44,0,164,2,0.7317073170731707,0.0
7,2021,48,222,0,0,0,270,2,1.0,0.646341463414634
7,2022,240,0,0,88,0,328,2,0.7317073170731707,0.2148148148148148
7,2023,96,444,0,0,0,540,2,1.0,0.646341463414634
8,2020,390,0,0,42,5,437,3,0.8924485125858124,0.0
8,2021,139,271,0,0,0,410,2,1.0,-0.06178489702517165
8,2022,780,0,0,84,10,874,3,0.8924485125858124,1.1317073170731708
8,2023,278,542,0,0,0,820,2,1.0,-0.06178489702517165
9,2020,327,0,0,6,8,341,3,0.9589442815249267,0.0
9,2021,122,326,0,0,0,448,2,1.0,0.313782991202346
9,2022,654,0,0,12,16,682,3,0.9589442815249267,0.5223214285714286
9,2023,244,652,0,0,0,896,2,1.0,0.313782991202346
10,2020,452,0,0,15,2,469,3,0.9637526652452025,0.0
10,2021,96,545,0,0,0,641,2,1.0,0.36673773987206815
10,2022,904,0,0,30,4,938,3,0.9637526652452025,0.4633385335413416
10,2023,192,1090,0,0,0,1282,2,1.0,0.36673773987206815
11,2020,230,0,12,63,1,306,4,0.7516339869281046,0.0
11,2021,65,124,0,0,0,189,2,1.0,-0.38235294117647056
11,2022,460,0,24,126,2,612,4,0.7516339869281046,2.238095238095238
11,2023,130,248,0,0,0,378,2,1.0,-0.38235294117647056
12,2020,560,0,3,4,1,568,4,0.9859154929577465,0.0
12,2021,94,480,0,0,0,574,2,1.0,0.010563380281690238
12,2022,1120,0,6,8,2,1136,4,0.9859154929577465,0.9790940766550522
12,2023,188,960,0,0,0,1148,2,1.0,0.010563380281690238
13,2020,94,0,1,17,0,112,3,0.8392857142857143,0.0
13,2021,33,100,0,0,0,133,2,1.0,0.1875
13,2022,188,0,2,34,0,224,3,0.8392857142857143,0.6842105263157894
13,2023,66,200,0,0,0,266,2,1.0,0.1875
14,2020,150,0,3,5,1,159,4,0.9433962264150944,0.0
14,2021,34,103,0,0,0,137,2,1.0,-0.1383647798742138
14,2022,300,0,6,10,2,318,4,0.9433962264150944,1.3211678832116789
14,2023,68,206,0,0,0,274,2,1.0,-0.1383647798742138
15,2020,455,0,4,18,0,477,3,0.9538784067085954,0.0
15,2021,152,498,0,0,0,650,2,1.0,0.36268343815513626
15,2022,910,0,8,36,0,954,3,0.9538784067085954,0.46769230769230763
15,2023,304,996,0,0,0,1300,2,1.0,0.36268343815513626
16,2020,223,0,0,1,0,224,2,0.9955357142857143,0.0
16,2021,78,260,0,0,0,338,2,1.0,0.5089285714285714
16,2022,446,0,0,2,0,448,2,0.9955357142857143,0.32544378698224863
16,2023,156,520,0,0,0,676,2,1.0,0.5089285714285714
17,2020,145,0,10,0,0,155,2,0.9354838709677419,0.0
17,2021,39,178,0,0,0,217,2,1.0,0.3999999999999999
17,2022,290,0,20,0,0,310,2,0.9354838709677419,0.4285714285714286
17,2023,78,356,0,0,0,434,2,1.0,0.3999999999999999
18,2020,81,0,8,0,1,90,3,0.9,0.0
18,2021,30,90,0,0,0,120,2,1.0,0.33333333333333326
