district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend
0,2020,262,263,3,0,1,529,3,0.9924385633270322,0.0
0,2021,42,276,0,0,0,318,2,1.0,-0.398866
0,2022,524,355,6,0,2,887,3,0.9909808342728298,1.789308
0,2023,84,552,0,0,0,636,2,1.0,-0.282976
1,2020,133,199,5,3,2,342,4,0.9707602339181286,0.0
1,2021,41,232,0,0,0,273,2,1.0,-0.201754
1,2022,266,283,10,6,4,569,4,0.9648506151142355,1.084249
1,2023,82,464,0,0,0,546,2,1.0,-0.040422
2,2020,125,162,6,34,11,338,4,0.849112426035503,0.0
2,2021,28,177,0,0,0,205,2,1.0,-0.393491
2,2022,250,233,12,68,22,585,4,0.8256410256410256,1.853659
2,2023,56,354,0,0,0,410,2,1.0,-0.299145
3,2020,358,425,14,11,7,815,4,0.9607361963190184,0.0
3,2021,126,545,0,0,0,671,2,1.0,-0.176687
3,2022,716,618,28,22,14,1398,4,0.9542203147353362,1.083458
3,2023,252,1090,0,0,0,1342,2,1.0,-0.040057
4,2020,3695,3074,136,59,20,6984,4,0.9692153493699885,0.0
4,2021,468,3449,0,0,7,3924,3,0.9982161060142711,-0.438144
4,2022,7390,4272,272,118,40,12092,4,0.9644392987098909,2.081549
4,2023,936,6898,0,0,14,7848,3,0.9982161060142711,-0.350976
5,2020,458,559,16,1,4,1038,4,0.9797687861271677,0.0
5,2021,103,606,0,0,0,709,2,1.0,-0.316956
5,2022,916,819,32,2,8,1777,4,0.9763646595385481,1.506347
5,2023,206,1212,0,0,0,1418,2,1.0,-0.202026
6,2020,220,183,7,36,9,455,4,0.8857142857142857,0.0
6,2021,51,232,0,0,0,283,2,1.0,-0.378022
6,2022,440,281,14,72,18,825,4,0.8739393939393939,1.915194
6,2023,102,464,0,0,0,566,2,1.0,-0.313939
7,2020,120,206,0,44,0,370,2,0.8810810810810811,0.0
7,2021,48,222,0,0,0,270,2,1.0,-0.27027
7,2022,240,287,0,88,0,615,2,0.8569105691056911,1.277778
7,2023,96,444,0,0,0,540,2,1.0,-0.121951
8,2020,390,229,0,42,5,666,3,0.9294294294294294,0.0
8,2021,139,271,0,0,0,410,2,1.0,-0.384384
8,2022,780,329,0,84,10,1203,3,0.9218620116375728,1.934146
8,2023,278,542,0,0,0,820,2,1.0,-0.318371
9,2020,327,299,0,6,8,640,3,0.978125,0.0
9,2021,122,326,0,0,0,448,2,1.0,-0.3
9,2022,654,383,0,12,16,1065,3,0.9737089201877934,1.377232
9,2023,244,652,0,0,0,896,2,1.0,-0.158685
10,2020,452,479,0,15,2,948,3,0.9820675105485233,0.0
10,2021,96,545,0,0,0,641,2,1.0,-0.32384
10,2022,904,728,0,30,4,1666,3,0.9795918367346939,1.599064
10,2023,192,1090,0,0,0,1282,2,1.0,-0.230492
11,2020,230,98,12,63,1,404,4,0.8118811881188119,0.0
11,2021,65,124,0,0,0,189,2,1.0,-0.532178
11,2022,460,139,24,126,2,751,4,0.7976031957390146,2.973545
11,2023,130,248,0,0,0,378,2,1.0,-0.496671
12,2020,560,441,3,4,1,1009,4,0.9920713577799801,0.0
12,2021,94,480,0,0,0,574,2,1.0,-0.43112
12,2022,1120,560,6,8,2,1696,4,0.9905660377358491,1.954704
12,2023,188,960,0,0,0,1148,2,1.0,-0.323113
13,2020,94,85,1,17,0,197,3,0.9086294416243654,0.0
13,2021,33,100,0,0,0,133,2,1.0,-0.324873
13,2022,188,112,2,34,0,336,3,0.8928571428571429,1.526316
13,2023,66,200,0,0,0,266,2,1.0,-0.208333
14,2020,150,87,3,5,1,246,4,0.9634146341463414,0.0
14,2021,34,103,0,0,0,137,2,1.0,-0.443089
14,2022,300,132,6,10,2,450,4,0.96,2.284672
14,2023,68,206,0,0,0,274,2,1.0,-0.391111
15,2020,455,450,4,18,0,927,3,0.9762675296655879,0.0
15,2021,152,498,0,0,0,650,2,1.0,-0.298813
15,2022,910,641,8,36,0,1595,3,0.9724137931034482,1.453846
15,2023,304,996,0,0,0,1300,2,1.0,-0.184953
16,2020,223,206,0,1,0,430,2,0.9976744186046511,0.0
16,2021,78,260,0,0,0,338,2,1.0,-0.213953
16,2022,446,312,0,2,0,760,2,0.9973684210526316,1.248521
16,2023,156,520,0,0,0,676,2,1.0,-0.110526
17,2020,145,148,10,0,0,303,2,0.966996699669967,0.0
17,2021,39,178,0,0,0,217,2,1.0,-0.283828
17,2022,290,217,20,0,0,527,2,0.9620493358633776,1.428571
17,2023,78,356,0,0,0,434,2,1.0,-0.176471
18,2020,81,83,8,0,1,173,3,0.9479768786127167,0.0
18,2021,30,90,0,0,0,120,2,1.0,-0.306358
18,2022,162,113,16,0,2,293,3,0.9385665529010239,1.441667
18,2023,60,180,0,0,0,240,2,1.0,-0.180887
19,2020,12,6,0,0,0,18,1,1.0,0.0
19,2021,2,7,0,0,0,9,2,1.0,-0.5
19,2022,24,9,0,0,0,33,1,1.0,2.666667
19,2023,4,14,0,0,0,18,2,1.0,-0.454545
20,2020,215,255,6,21,11,508,5,0.9251968503937008,0.0
20,2021,56,278,0,0,0,334,2,1.0,-0.34252
20,2022,430,342,12,42,22,848,5,0.910377358490566,1.538922
20,2023,112,556,0,0,0,668,2,1.0,-0.212264
21,2020,179,147,4,8,3,341,4,0.9560117302052786,0.0
21,2021,22,164,0,0,0,186,2,1.0,-0.454545
21,2022,358,197,8,16,6,585,4,0.9487179487179487,2.145161
21,2023,44,328,0,0,0,372,2,1.0,-0.364103
22,2020,202,104,1,18,7,332,4,0.9216867469879518,0.0
22,2021,66,120,0,0,0,186,2,1.0,-0.439759
22,2022,404,145,2,36,14,601,4,0.913477537437604,2.231183
22,2023,132,240,0,0,0,372,2,1.0,-0.381032
23,2020,207,240,3,8,3,461,4,0.9696312364425163,0.0
23,2021,69,264,0,0,0,333,2,1.0,-0.277657
23,2022,414,326,6,16,6,768,4,0.9635416666666666,1.306306
23,2023,138,528,0,0,0,666,2,1.0,-0.132812
24,2020,190,206,4,28,1,429,4,0.9230769230769231,0.0
24,2021,72,258,0,0,0,330,2,1.0,-0.230769
24,2022,380,297,8,56,2,743,4,0.9111709286675639,1.251515
24,2023,144,516,0,0,0,660,2,1.0,-0.111709
25,2020,441,433,0,41,10,925,3,0.9448648648648649,0.0
25,2021,99,511,0,0,0,610,2,1.0,-0.340541
25,2022,882,635,0,82,20,1619,3,0.9369981470043237,1.654098
25,2023,198,1022,0,0,0,1220,2,1.0,-0.246448
26,2020,198,162,22,36,1,419,4,0.8591885441527446,0.0
26,2021,67,170,0,0,0,237,2,1.0,-0.434368
26,2022,396,216,44,72,2,730,4,0.8383561643835616,2.080169
26,2023,134,340,0,0,0,474,2,1.0,-0.350685
27,2020,267,269,5,0,2,543,3,0.9871086556169429,0.0
27,2021,54,321,0,0,0,375,2,1.0,-0.309392
27,2022,534,417,10,0,4,965,3,0.9854922279792746,1.573333
27,2023,108,642,0,0,0,750,2,1.0,-0.222798
28,2020,529,429,7,64,4,1033,4,0.9273959341723137,0.0
28,2021,135,461,0,0,0,596,2,1.0,-0.42304
28,2022,1058,568,14,128,8,1776,4,0.9155405405405406,1.979866
28,2023,270,922,0,0,0,1192,2,1.0,-0.328829
29,2020,182,426,6,36,3,653,4,0.9310872894333844,0.0
29,2021,52,463,0,0,0,515,2,1.0,-0.211332
29,2022,364,529,12,72,6,983,4,0.9084435401831129,0.908738
29,2023,104,926,0,0,0,1030,2,1.0,0.047813
30,2020,441,489,5,1,2,938,4,0.9914712153518124,0.0
30,2021,92,513,0,0,0,605,2,1.0,-0.355011
30,2022,882,602,10,2,4,1500,4,0.9893333333333333,1.479339
30,2023,184,1026,0,0,0,1210,2,1.0,-0.193333
31,2020,744,558,5,28,2,1337,4,0.9738219895287958,0.0
31,2021,182,634,0,0,0,816,2,1.0,-0.389678
31,2022,1488,711,10,56,4,2269,4,0.9691494050242397,1.780637
