Name,Latitude,Longitude,OBJECTID,KGISCode,KGISWardID,DepartmentCode,KGISVillageID,KGISPOL_OPSTID,POL_OPSTName
,13.1236710003015,77.605489000224,1,29572055428031620000HMPOLPUOFFPOP0001,,1,15437,1,"Police Outpost, APTS Yelahanka"
,12.9955660001983,77.5826090002177,10,29572055428031620000HMPOLPUOFFPOP0007,,10,15140,10,"Police Outpost, Seshadripuram "
,16.5277230001537,74.6021730001999,100,29555054335971750000HMPOLPUOFFPOP0001,,100,1140,100,"Police Outpost, Examba"
,16.5423399999553,74.3308900000456,101,29555054335971200000HMPOLPUOFFPOP0001,,101,1104,101,"Police Outpost, Koga  Li"
,16.1036270002212,74.6855999997508,102,29555054375976650000HMPOLPUOFFPOP0001,,102,1375,102,"Police Outpost, Pachapur"
,16.1324060003969,74.6596200000697,103,29555054375976180000HMPOLPUOFFPOP0001,,103,1280,103,"Police Outpost, Hidakal Dam"
,15.8894999999577,75.3896666668748,104,29555054425983880000HMPOLPUOFFPOP0001,,104,1797,104,"Police Outpost, Sureban "
,15.9807520999908,75.016678700172,105,29555054415981670000HMPOLPUOFFPOP0001,,105,1939,105,"Police Outpost, Yaragatti "
,15.8558550004057,75.1287610001644,106,29555054415982660000HMPOLPUOFFPOP0001,,106,1837,106,"Police Outpost, Munavalli "
,15.7657649998639,75.1327620004657,107,29555054415982460000HMPOLPUOFFPOP0001,,107,1894,107,"Police Outpost, Yallamanagudda "
,15.8159610002025,75.106889999965,108,29555054415982670000HMPOLPUOFFPOP0001,,108,1840,108,"Police Outpost, Naveeluteerth Dam "
,15.4866939999427,75.1313060001471,109,29562054736023090000HMPOLPUOFFPOP0001,,109,6497,109,"Police Outpost, Hebballi "
,12.9991048101212,77.5746466298859,11,29572055428031620000HMPOLPUOFFPOP0008,,11,15128,11,"Police Outpost, Dattatreya Temple  Hulluchatra"
,15.3576940003701,75.2658059996094,110,29562054756023940000HMPOLPUOFFPOP0001,,110,6694,110,"Police Outpost, Bhandiwad "
,15.2536110003028,75.0565280000227,111,29562054766024620000HMPOLPUOFFPOP0001,,111,6732,111,"Police Outpost, Misrikoti "
,15.5807219997608,75.1612780000011,112,29562054746023310000HMPOLPUOFFPOP0001,,112,31503,112,"Police Outpost, Morab "
,15.4221340000295,75.5811559997896,113,29561054706020220000HMPOLPUOFFPOP0001,,113,6950,113,"Police Outpost, Binkadakatti Jeevan Raksha"
,15.2941111109811,75.7753611112541,114,29561054726021540000HMPOLPUOFFPOP0001,,114,6985,114,"Police Outpost, Dambal Village"
,15.7194160002025,75.3843479995682,115,29561054688030740000HMPOLPUOFFPOP0001,,115,7046,115,"Police Outpost, Konnur "
,15.797499999994,75.7647222216983,116,29561054696019260000HMPOLPUOFFPOP0001,,116,7141,116,"Police Outpost, Hirehal"
,15.8244444432052,75.6497222215778,117,29561054696019010000HMPOLPUOFFPOP0001,,117,7076,117,"Police Outpost, Hoealr"
,16.9791420003905,75.754591999568,118,29557054495990680000HMPOLPUOFFPOP0001,,118,4950,118,"Police Outpost, Tidagundi"
,16.5366440000447,75.4948359999048,119,29557054495991390000HMPOLPUOFFPOP0001,,119,4916,119,"Police Outpost, Gunadal"
,12.9749077788324,77.6254558328565,12,29572055428031620000HMPOLPUOFFPOP0009,,12,30092,12,"Police Outpost, Bowring Hospital "
,16.5355760001286,75.59561099955,120,29557054495991560000HMPOLPUOFFPOP0001,,120,4925,120,"Police Outpost, Mamadapur, Basavan Bagewadi Circle"
,16.9791420003905,75.754591999568,121,29557054495990680000HMPOLPUOFFPOP0002,,121,4950,121,"Police Outpost, Kanamadi"
,17.304109700439,76.0271719998185,122,29557054505992480000HMPOLPUOFFPOP0001,,122,4549,122,"Police Outpost, Agarkhed"
,17.0044009999472,76.4173889997363,123,29557054515993320000HMPOLPUOFFPOP0001,,123,4770,123,"Police Outpost, Moratagi"
,16.7503090000907,76.2140410001415,124,29557054515994100000HMPOLPUOFFPOP0001,,124,4811,124,"Police Outpost, Korawar"
,16.8854009996857,76.7509659995315,125,29579055866208630000HMPOLPUOFFPOP0001,,125,3166,125,"Police Outpost, Yalawar"
,16.2488210000434,76.2922100002959,126,29557054535996760000HMPOLPUOFFPOP0001,,126,4694,126,"Police Outpost, Nalatwad  Circle"
,13.4087050003178,76.1643419998145,127,29574055556158400000HMPOLPUOFFPOP0001,,127,22038,127,"Police Outpost, Banavara "
